"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2008","1,458.00","1,458.00","1,458.00","1,458.00","","-25.80%"
"07/01/2008","1,965.00","1,965.00","1,965.00","1,965.00","","3.31%"
"06/01/2008","1,902.00","1,902.00","1,902.00","1,902.00","","-4.57%"
"05/01/2008","1,993.00","1,993.00","1,993.00","1,993.00","","20.71%"
"04/01/2008","1,651.00","1,651.00","1,651.00","1,651.00","","9.34%"
"03/01/2008","1,510.00","1,510.00","1,510.00","1,510.00","","29.39%"
"02/01/2008","1,167.00","1,167.00","1,167.00","1,167.00","","-1.77%"
"01/01/2008","1,188.00","1,188.00","1,188.00","1,188.00","","-44.56%"
"12/01/2007","2,143.00","2,165.00","2,165.00","2,165.00","","39.61%"
"11/01/2007","1,535.00","1,535.00","1,535.00","1,535.00","","42.26%"
"10/01/2007","1,079.00","1,079.00","1,079.00","1,079.00","","17.28%"
"09/01/2007","920.00","920.00","920.00","920.00","","13.58%"
"08/01/2007","810.00","810.00","810.00","810.00","","-18.92%"
"07/01/2007","999.00","999.00","999.00","999.00","","-2.92%"
"06/01/2007","1,029.00","1,029.00","1,029.00","1,029.00","","1.28%"
"05/01/2007","1,016.00","1,016.00","1,016.00","1,016.00","","-17.80%"
"04/01/2007","1,236.00","1,236.00","1,236.00","1,236.00","","-11.59%"
"03/01/2007","1,398.00","1,398.00","1,398.00","1,398.00","","26.98%"
"02/01/2007","1,101.00","1,101.00","1,101.00","1,101.00","","-7.87%"
"01/01/2007","1,195.00","1,195.00","1,195.00","1,195.00","","-18.21%"
"12/01/2006","1,461.00","1,461.00","1,461.00","1,461.00","","46.69%"
"11/01/2006","996.00","996.00","996.00","996.00","","-19.48%"
"10/01/2006","1,237.00","1,237.00","1,237.00","1,237.00","","-2.98%"
"09/01/2006","1,275.00","1,275.00","1,275.00","1,275.00","","-10.46%"
"08/01/2006","1,424.00","1,424.00","1,424.00","1,424.00","","1.71%"
"07/01/2006","1,400.00","1,400.00","1,400.00","1,400.00","","1.82%"
"06/01/2006","1,375.00","1,375.00","1,375.00","1,375.00","","18.64%"
"05/01/2006","1,159.00","1,159.00","1,159.00","1,159.00","","4.79%"
"04/01/2006","1,106.00","1,106.00","1,106.00","1,106.00","","8.54%"
"03/01/2006","1,019.00","1,019.00","1,019.00","1,019.00","","-8.12%"
"02/01/2006","1,109.00","1,109.00","1,109.00","1,109.00","","-35.07%"
"01/01/2006","1,708.00","1,708.00","1,708.00","1,708.00","","-17.77%"
"12/01/2005","2,077.00","2,077.00","2,077.00","2,077.00","","-3.35%"
"11/01/2005","2,149.00","2,149.00","2,149.00","2,149.00","","-2.14%"
"10/01/2005","2,196.00","2,196.00","2,196.00","2,196.00","","45.05%"
"09/01/2005","1,514.00","1,514.00","1,514.00","1,514.00","","40.71%"
"08/01/2005","1,076.00","1,076.00","1,076.00","1,076.00","","-1.91%"
"07/01/2005","1,097.00","1,097.00","1,097.00","1,097.00","","-8.05%"
"06/01/2005","1,193.00","1,193.00","1,193.00","1,193.00","","-4.64%"
"05/01/2005","1,251.00","1,251.00","1,251.00","1,251.00","","-1.81%"
"04/01/2005","1,274.00","1,274.00","1,274.00","1,274.00","","-7.21%"
"03/01/2005","1,373.00","1,373.00","1,373.00","1,373.00","","-14.77%"
"02/01/2005","1,611.00","1,611.00","1,611.00","1,611.00","","18.72%"
"01/01/2005","1,357.00","1,357.00","1,357.00","1,357.00","","-36.74%"
"12/01/2004","2,145.00","2,145.00","2,145.00","2,145.00","","-23.31%"
"11/01/2004","2,797.00","2,797.00","2,797.00","2,797.00","","-7.01%"
"10/01/2004","3,008.00","3,008.00","3,008.00","3,008.00","","49.50%"
"09/01/2004","2,012.00","2,012.00","2,012.00","2,012.00","","58.93%"
"08/01/2004","1,266.00","1,266.00","1,266.00","1,266.00","","-15.99%"
